stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
2774,Burrows & Hacienda,BURROWS + HACIENDA,37.26881,-121.972367,,False,6,11,131,7,5,168,19,13,30,7.3,5.7,1.75,1.5,1.25,2.75,2018,1674
2696,Main & Jackson,MAIN + JACKSON,37.220976,-121.974169,D7,True,0,0,76,0,0,146,0,0,30,6.35,3.3,0.0,0.0,0.0,0.0,1619,842
1142,Blossom Hill & Entrada Cedros,BLOSSOM HILL + ENTRADA CEDROS,37.251413,-121.833276,,False,2,3,21,29,18,145,19,13,21,6.3,0.91,7.25,0.5,4.5,0.75,2218,297
1074,Los Gatos & Leroy,LOS GATOS + BLOSSOM HILL,37.236889,-121.962267,D7,True,11,10,151,9,11,144,19,13,30,6.26,6.57,2.25,2.75,2.75,2.5,1856,1948
1108,Blossom Hill & Playa Del Rey,BLOSSOM HILL + PLAYA DEL REY,37.250186,-121.852512,,False,7,12,144,29,19,140,19,13,31,6.09,6.26,7.25,1.75,4.75,3.0,2177,1843
1833,Burrows & Hacienda,BURROWS + HACIENDA,37.268802,-121.972263,,False,7,6,101,9,13,135,19,13,32,5.87,4.39,2.25,1.75,3.25,1.5,1783,1288
1181,Los Gatos & Blossom Hill,LOS GATOS + BLOSSOM HILL,37.236862,-121.962681,D7,True,12,13,135,12,12,133,19,13,32,5.78,5.87,3.0,3.0,3.0,3.25,1786,1822
2788,Main & Pleasant,MAIN + PLEASANT,37.221126,-121.974711,D7,True,0,0,86,0,0,133,0,0,32,5.78,3.74,0.0,0.0,0.0,0.0,1474,954
2695,Main & Los Gatos Civic Center,LOS GATOS CIVIC CENTER,37.221205,-121.979109,D7,True,0,0,248,0,0,132,0,0,30,5.74,10.78,0.0,0.0,0.0,0.0,1464,2749
2783,Winchester & Vineland,WINCHESTER + VINELAND,37.243587,-121.975538,D4,True,2,0,19,2,4,132,19,13,30,5.74,0.83,0.5,0.5,1.0,0.0,1542,238
1105,Blossom Hill & Winfield,BLOSSOM HILL + WINFIELD,37.250258,-121.865507,,False,31,30,241,25,5,130,19,13,31,5.65,10.48,6.25,7.75,1.25,7.5,1831,3465
2767,Winchester & Camden,WINCHESTER + CAMDEN,37.277942,-121.949872,,False,0,1,8,17,25,129,19,13,30,5.61,0.35,4.25,0.0,6.25,0.25,1977,102
1744,Samaritan & National,SAMARITAN + NATIONAL,37.25289,-121.951583,D6,True,12,6,67,7,8,126,19,13,30,5.48,2.91,1.75,3.0,2.0,1.5,1592,976
1062,Main & Santa Cruz,MAIN + SANTA CRUZ,37.222298,-121.983565,D1,True,0,0,324,0,0,122,0,0,30,5.3,14.09,0.0,0.0,0.0,0.0,1352,3593
1750,Union & Samaritan,UNION + SAMARITAN,37.250184,-121.931439,,False,3,3,33,4,1,119,19,13,31,5.17,1.43,1.0,0.75,0.25,0.75,1383,443
1830,Knowles & Dardanelli,KNOWLES + DARDANELLI,37.261714,-121.966321,D3,True,0,0,41,7,4,119,19,13,32,5.17,1.78,1.75,0.0,1.0,0.0,1461,454
1068,Santa Cruz & Roberts,SANTA CRUZ + ROBERTS,37.233892,-121.978474,D1,True,8,6,62,4,11,119,19,13,32,5.17,2.7,1.0,2.0,2.75,1.5,1513,870
1103,Blossom Hill & Almaden,BLOSSOM HILL + ALMADEN,37.250614,-121.873522,,False,8,18,137,9,8,117,19,13,31,5.09,5.96,2.25,2.0,2.0,4.5,1519,1858
1162,Blossom Hill & Camden,BLOSSOM HILL + CAMDEN,37.236461,-121.903106,,False,29,43,237,13,5,114,19,13,32,4.96,10.3,3.25,7.25,1.25,10.75,1499,3562
1155,Blossom Hill & Kooser,BLOSSOM HILL + KOOSER,37.245513,-121.887915,,False,42,25,270,16,13,113,19,13,32,4.91,11.74,4.0,10.5,3.25,6.25,1629,3865
1115,Blossom Hill & Lean,BLOSSOM HILL + LEAN,37.251321,-121.817071,,False,26,37,371,8,7,113,19,13,31,4.91,16.13,2.0,6.5,1.75,9.25,1447,4932
1814,Union & Heather,UNION + HEATHER,37.244221,-121.931141,,False,12,19,178,8,17,112,19,14,32,4.87,7.74,2.0,3.0,4.25,4.75,1567,2377
1091,Blossom Hill & Harwood,BLOSSOM HILL + HARWOOD,37.23616,-121.913835,,False,11,4,43,10,13,109,19,13,31,4.74,1.87,2.5,2.75,3.25,1.0,1508,672
1188,Santa Cruz & Los Gatos-Saratoga,SANTA CRUZ + LOS GATOS-SARATOGA,37.230014,-121.980542,D1,True,38,14,153,14,8,109,19,13,30,4.74,6.65,3.5,9.5,2.0,3.5,1495,2372
2797,Los Gatos & Village Square,LOS GATOS + VILLAGE SQUARE,37.244547,-121.958614,D6,True,12,2,70,17,15,105,19,13,30,4.57,3.04,4.25,3.0,3.75,0.5,1581,957
1130,Cottle Park & Ride,COTTLE STATION PARK + RIDE,37.242189,-121.803716,,False,1,2,4,7,4,102,19,13,32,4.43,0.17,1.75,0.25,1.0,0.5,1273,82
1746,Samaritan & Samaritan,SAMARITAN + SAMARITAN PL,37.25102,-121.944554,D6,True,8,5,43,9,17,97,19,13,31,4.22,1.87,2.25,2.0,4.25,1.25,1414,646
1086,Leigh & Los Gatos-Almaden,LEIGH + LOS GATOS-ALMADEN,37.243106,-121.922772,,False,4,2,121,8,9,97,19,13,31,4.22,5.26,2.0,1.0,2.25,0.5,1297,1419
2789,Main & Villa,MAIN + VILLA,37.221226,-121.977956,D7,True,0,0,76,0,0,96,0,0,32,4.17,3.3,0.0,0.0,0.0,0.0,1063,842
1137,Blossom Hill & Calpine,BLOSSOM HILL + CALPINE,37.251641,-121.81229,,False,0,0,11,11,16,95,19,13,32,4.13,0.48,2.75,0.0,4.0,0.0,1404,122
1118,Cottle & Poughkeepsie,COTTLE + POUGHKEEPSIE,37.250912,-121.804193,,False,65,58,617,5,2,95,19,13,31,4.13,26.83,1.25,16.25,0.5,14.5,1144,8441
1139,Blossom Hill & Lathrop,BLOSSOM HILL + LATHROP,37.25157,-121.821149,,False,7,1,57,6,7,92,19,13,32,4.0,2.48,1.5,1.75,1.75,0.25,1189,736
1136,Blossom Hill & Beswick,BLOSSOM HILL + BESWICK,37.25159,-121.808568,,False,0,1,14,8,7,90,19,13,32,3.91,0.61,2.0,0.0,1.75,0.25,1192,169
1826,Winchester & Lark,WINCHESTER + LARK,37.254018,-121.966854,D3,True,4,2,94,8,11,88,19,13,32,3.83,4.09,2.0,1.0,2.75,0.5,1224,1121
2893,Los Gatos & Garden,LOS GATOS + GARDEN / GATEWAY,37.24594,-121.95815,D6,True,5,8,74,4,4,88,19,13,32,3.83,3.22,1.0,1.25,1.0,2.0,1081,990
1145,Blossom Hill & Cahalan,BLOSSOM HILL + CAHALAN,37.250705,-121.847912,,False,4,0,54,6,3,85,19,13,32,3.7,2.35,1.5,1.0,0.75,0.0,1060,651
1154,Blossom Hill & Ayrshire,BLOSSOM HILL + AYRSHIRE,37.248246,-121.883055,,False,7,6,205,9,8,83,19,13,32,3.61,8.91,2.25,1.75,2.0,1.5,1142,2441
1109,Blossom Hill & Cahalan,BLOSSOM HILL + CAHALAN,37.250434,-121.846206,,False,17,18,140,6,16,83,19,13,31,3.61,6.09,1.5,4.25,4.0,4.5,1207,2008
1179,Los Gatos & Los Gatos-Almaden,LOS GATOS + CHIRCO,37.24053,-121.960918,D6,True,9,8,64,7,4,79,19,13,32,3.43,2.78,1.75,2.25,1.0,2.0,1018,930
2779,Winchester & Newell,WINCHESTER + NEWELL,37.253832,-121.967294,D3,True,8,7,80,6,4,79,19,13,30,3.43,3.48,1.5,2.0,1.0,1.75,1005,1082
1104,Blossom Hill & Sanchez,BLOSSOM HILL + SANCHEZ,37.250405,-121.870999,,False,7,6,51,7,12,78,19,13,31,3.39,2.22,1.75,1.75,3.0,1.5,1111,735
1113,Blossom Hill & Judith,BLOSSOM HILL + JUDITH,37.251263,-121.824846,,False,13,8,109,1,5,76,19,13,31,3.3,4.74,0.25,3.25,1.25,2.0,920,1482
1063,University & Mullen,UNIVERSITY + MULLEN,37.223566,-121.981812,D1,True,0,0,47,0,0,73,0,0,32,3.17,2.04,0.0,0.0,0.0,0.0,808,520
2794,Los Gatos & Magneson,LOS GATOS + MAGNESON,37.233655,-121.963815,D7,True,3,18,95,6,3,68,19,13,30,2.96,4.13,1.5,0.75,0.75,4.5,872,1326
2704,Winchester & Hacienda,WINCHESTER + HACIENDA,37.26958,-121.955738,,False,4,3,20,4,3,67,19,13,32,2.91,0.87,1.0,1.0,0.75,0.75,833,313
1820,Samaritan & Saidel,SAMARITAN + SAIDEL,37.250653,-121.942971,D6,True,4,10,124,5,7,64,19,14,32,2.78,5.39,1.25,1.0,1.75,2.5,865,1556
1185,Santa Cruz & Mariposa,SANTA CRUZ + MARIPOSA,37.235547,-121.977838,D7,True,7,2,73,7,6,64,19,13,30,2.78,3.17,1.75,1.75,1.5,0.5,878,925
2894,Los Gatos & Garden (New Town Center),LOS GATOS + GARDEN (NEW TOWN CTR),37.243107,-121.959676,D6,True,7,8,81,6,3,63,19,13,32,2.74,3.52,1.5,1.75,0.75,2.0,816,1093
1111,Blossom Hill & Entrada Cedros,BLOSSOM HILL + ENTRADA CEDROS,37.251122,-121.83261,,False,30,22,545,9,7,62,19,13,31,2.7,23.7,2.25,7.5,1.75,5.5,896,6720
1186,Santa Cruz & Olive,SANTA CRUZ + OLIVE,37.233718,-121.978725,D1,True,9,3,129,4,4,62,19,13,30,2.7,5.61,1.0,2.25,1.0,0.75,792,1587
1144,Blossom Hill & Chesbro,BLOSSOM HILL + CHESBRO,37.250742,-121.843396,,False,11,5,46,3,6,61,19,13,32,2.65,2.0,0.75,2.75,1.5,1.25,793,718
1828,Knowles & Capri,KNOWLES + CAPRI,37.261739,-121.963036,D3,True,9,0,36,6,5,60,19,13,32,2.61,1.57,1.5,2.25,1.25,0.0,809,517
2793,Los Gatos & Nino,LOS GATOS + NINO,37.230534,-121.965335,D7,True,8,4,44,3,10,58,19,13,30,2.52,1.91,0.75,2.0,2.5,1.0,812,643
2777,Knowles & Dardanelli,KNOWLES + DARDANELLI,37.261534,-121.967141,D3,True,5,15,129,4,0,58,19,13,30,2.52,5.61,1.0,1.25,0.0,3.75,695,1691
2775,Pollard & Bracebridge,POLLARD + BRACEBRIDGE,37.264401,-121.97257,,False,4,6,82,4,5,56,19,13,30,2.43,3.57,1.0,1.0,1.25,1.5,737,1040
1823,Los Gatos & Burton,LOS GATOS + BURTON,37.252764,-121.952904,D6,True,7,6,68,7,6,54,19,13,32,2.35,2.96,1.75,1.75,1.5,1.5,768,924
2798,Los Gatos & Gateway,LOS GATOS + GATEWAY,37.246478,-121.957337,D6,True,5,8,95,8,2,52,19,13,30,2.26,4.13,2.0,1.25,0.5,2.0,706,1222
1165,Blossom Hill & Mary Jo,BLOSSOM HILL + MARY JO,37.236318,-121.91716,,False,2,4,20,2,4,52,19,13,32,2.26,0.87,0.5,0.5,1.0,1.0,654,300
1124,Santa Teresa & Cottle,SANTA TERESA + COTTLE,37.236847,-121.802919,,False,39,17,313,9,8,51,19,13,31,2.22,13.61,2.25,9.75,2.0,4.25,787,4199
2778,Knowles & Capri,KNOWLES + CAPRI,37.261596,-121.963517,D3,True,7,6,73,8,0,51,19,13,30,2.22,3.17,2.0,1.75,0.0,1.5,670,977
1087,Leigh & Gregg,LEIGH + GREGG,37.239651,-121.922812,,False,0,0,22,5,4,50,19,13,31,2.17,0.96,1.25,0.0,1.0,0.0,670,245
1831,Pollard & El Camino Hospital Los Gatos,POLLARD + EL CAMINO HOSPITAL - LOS GATOS,37.26218,-121.970152,,False,1,2,25,1,1,50,19,13,32,2.17,1.09,0.25,0.25,0.25,0.5,579,317
1163,Blossom Hill & Drysdale,BLOSSOM HILL + DRYSDALE,37.236412,-121.908205,,False,4,4,48,2,3,49,19,13,32,2.13,2.09,0.5,1.0,0.75,1.0,608,637
2782,Winchester & Valley Oak,WINCHESTER + VALLEY OAK,37.246772,-121.972852,D4,True,4,5,23,0,1,48,19,13,30,2.09,1.0,0.0,1.0,0.25,1.25,546,372
