stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
1823,Los Gatos & Burton,LOS GATOS + BURTON,37.252764,-121.952904,D6,True,7,6,68,7,6,54,19,13,32,2.35,2.96,1.75,1.75,1.5,1.5,768,924
2798,Los Gatos & Gateway,LOS GATOS + GATEWAY,37.246478,-121.957337,D6,True,5,8,95,8,2,52,19,13,30,2.26,4.13,2.0,1.25,0.5,2.0,706,1222
2778,Knowles & Capri,KNOWLES + CAPRI,37.261596,-121.963517,D3,True,7,6,73,8,0,51,19,13,30,2.22,3.17,2.0,1.75,0.0,1.5,670,977
2782,Winchester & Valley Oak,WINCHESTER + VALLEY OAK,37.246772,-121.972852,D4,True,4,5,23,0,1,48,19,13,30,2.09,1.0,0.0,1.0,0.25,1.25,546,372
2897,Los Gatos & Caldwell,LOS GATOS + CALDWELL,37.22716,-121.968105,D7,True,7,4,39,4,3,45,19,13,32,1.96,1.7,1.0,1.75,0.75,1.0,591,576
2699,Winchester & Daves,WINCHESTER + DAVES,37.240436,-121.976643,D5,True,0,1,22,0,3,44,19,13,32,1.91,0.96,0.0,0.0,0.75,0.25,526,258
1747,Samaritan & Winton,SAMARITAN + WINTON,37.250563,-121.941846,D6,True,0,1,12,3,7,44,19,13,31,1.91,0.52,0.75,0.0,1.75,0.25,617,146
1064,University & Royce,UNIVERSITY + ROYCE,37.225412,-121.980787,D1,True,0,0,12,0,0,43,0,0,32,1.87,0.52,0.0,0.0,0.0,0.0,477,133
1827,Winchester & Albright,WINCHESTER + ALBRIGHT,37.256509,-121.965346,D3,True,0,1,24,2,0,41,19,13,32,1.78,1.04,0.5,0.0,0.0,0.25,480,278
1743,Los Gatos & Del Sol,LOS GATOS + WALKER,37.25033,-121.954578,D6,True,3,0,43,5,5,35,19,13,30,1.52,1.87,1.25,0.75,1.25,0.0,518,516
