route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
OPT_01,WEEKDAY,OPT_01_T068,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T069,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T070,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T071,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T072,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T073,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T074,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T075,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T076,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T077,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T078,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T079,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T080,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T081,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T082,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T083,Santa Teresa Station,0,shape_OPT_01,1,1
OPT_01,WEEKDAY,OPT_01_T084,Santa Teresa Station,0,shape_OPT_01,1,1
