stop_id,stop_name,route_ids,district_id
PS_WVTC,West Valley College Transit Center,,
2779,Winchester & Newell,27,D3
2780,Winchester & La Rinconada,27,D4
2781,Winchester & Eaton,27,D4
2782,Winchester & Valley Oak,27,D4
2783,Winchester & Vineland,27,D4
2784,Winchester & Daves,27,D5
2786,Los Gatos-Saratoga & Village Lane,27,D1
2787,Los Gatos & Simons,27,D7
2788,Main & Pleasant,27,D7
2789,Main & Villa,27,D7
2791,Santa Cruz & Main,27,D1
2792,Los Gatos & Fillmer,27,D7
2793,Los Gatos & Nino,27,D7
2794,Los Gatos & Magneson,27,D7
2795,Los Gatos & Los Gatos-Almaden (Chirco),27,D6
2797,Los Gatos & Village Square,27,D6
2798,Los Gatos & Gateway,27,D6
2800,Bascom & Samaritan,61,D6
2802,Bascom & White Oaks,61,
2803,Bascom & Woodard,61,
2804,Bascom & Shelley,61,
2805,Bascom & Jewell,61,
2806,Union & Stratford,61,U2
2808,Union & Camden,61,
2809,Union & Cambrianna,61,
2810,Union & Foxworthy,61,
2884,Union & Stratford,61,U2
2885,Union & Barrett,61,U2
2888,Bascom & Shamrock,61,
2889,Bascom & Camden,61,
2890,Bascom & Shelley,61,
2891,Bascom & Woodard,61,
2892,Bascom & White Oaks,61,
2893,Los Gatos & Garden,27,D6
2894,Los Gatos & Garden (New Town Center),27,D6
2895,Los Gatos & Roberts,27,D7
2896,Los Gatos & Nino,27,D7
2897,Los Gatos & Caldwell,27,D7
2904,Camden & Meridian,64B,
2905,Meridian & Paso Los Cerritos,64B,
2906,Meridian & Redmond,64B,
2907,Meridian & Oakglen,64B,
2908,Meridian & Torrington,64B,U5
2909,Meridian & Oslo,64B,U5
2910,Meridian & Dentwood,64B,U4
2911,Meridian & Portobelo,64B,U3
2912,Meridian & Branham,64B,U3
2914,Meridian & Hallbrook,64B,U3
2915,Meridian & Willowgate,64B,U3
2916,Meridian & Willowmont,64B,
2917,Meridian & Hillsdale,64B,
2969,Meridian & Hillsdale,64B,
2971,Meridian & Willowmont,64B,
2972,Meridian & Jacob,64B,U3
2973,Meridian & Hallbrook,64B,U3
2975,Meridian & Corte De Callas,64B,U3
2977,Meridian & Portobelo,64B,U3
2978,Meridian & Dentwood,64B,U4
2979,Meridian & Princeton,64B,U4
2980,Meridian & Blossom Hill,64B,U5
2981,Meridian & Oslo,64B,U5
2982,Meridian & Torrington,64B,U5
2983,Meridian & Oakglen,64B,
2984,Meridian & Redmond,64B,
2985,Meridian & Paso Los Cerritos,64B,
2986,Camden & Leyland Park,64B,
4432,Camden & Olympia,"101,37",
4454,Camden & Calvin,"101,37",
4695,Good Samaritan Hospital,61,D6
4996,West Valley College (Bay 6),37,
4997,West Valley College (Bay 5),51,
4998,West Valley College (Bay 4),26,
5000,West Valley Transit Center (Bay 2),57,
5544,Pollard & More,37,
5545,Pollard & More,37,
5546,Pollard & Abbott,37,
5547,Pollard & York,37,
5548,Pollard & Naramore,37,
5549,Pollard & Summerwood,37,
5630,Camden & Paseo Del Oro,37,
5631,Camden & Esther,37,
5632,Hillsdale & Camden,37,
5687,Quito & Ravenwood,37,
