school,dismissal_time,pickup_deadline,pickup_window_min,districts,catchment_population,youth_population,estimated_boardings,diversion_rate_used,source
Union_Middle_School,14:25,14:35,10,"U1,U2,U3",24330,5352,10,0.0,youth_population * middle_school_fraction * survey_diversion_rate
Dartmouth_Middle_School,15:55,16:05,10,"U4,U5,U6",12558,2762,10,0.0,youth_population * middle_school_fraction * survey_diversion_rate
