route_id,route_name,parent_route_id,is_restoration,bcr,estimated_one_way_min,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,district_id,is_existing,is_school_stop,is_mandatory,wheelchair_boarding,demand_score,estimated_daily_boardings,headway_am_peak,headway_midday,headway_pm_school,headway_pm_commute,headway_evening,diversion_rate,route_total_demand
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,31,1104,Blossom Hill & Sanchez,37.250405,-121.870999,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,32,1105,Blossom Hill & Winfield,37.250258,-121.865507,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,33,1106,Blossom Hill & Hillview,37.250256,-121.862691,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,34,1107,Blossom Hill & Santa Teresa,37.250202,-121.858057,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,35,1108,Blossom Hill & Playa Del Rey,37.250186,-121.852512,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,36,1109,Blossom Hill & Cahalan,37.250434,-121.846206,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,37,1110,Blossom Hill Station,37.252393,-121.841442,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,38,1111,Blossom Hill & Entrada Cedros,37.251122,-121.83261,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,39,1112,Blossom Hill & Snell,37.251147,-121.829768,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,40,1113,Blossom Hill & Judith,37.251263,-121.824846,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,41,1114,Blossom Hill & Eagles,37.251286,-121.822051,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,42,1115,Blossom Hill & Lean,37.251321,-121.817071,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,43,1116,Blossom Hill & Calpine,37.251351,-121.812286,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,44,1117,Blossom Hill & Beswick,37.25136,-121.808372,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,45,1118,Cottle & Poughkeepsie,37.250912,-121.804193,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,46,1119,Cottle & Coronado,37.247311,-121.80413,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,47,1123,Cottle & Beswick,37.245633,-121.804132,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,48,5656,Cottle & Palmia,37.240573,-121.804082,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,49,1124,Santa Teresa & Cottle,37.236847,-121.802919,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,50,3343,Santa Teresa & Encinal,37.236795,-121.795928,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
OPT_01,Optimised Route 1 (from 27),27,False,,39.3,51,3304,Santa Teresa Station,37.236285,-121.789479,U5,True,False,False,1,0.0,11.3,8,30,6,6,20,0.08,400.0
