route_id,source_route_id,seq,lat,lon
OPT_01,,0,37.251001,-121.947478
OPT_01,,1,37.251117,-121.947478
OPT_01,,2,37.25112,-121.94689
OPT_01,,3,37.251122,-121.946399
OPT_01,,4,37.251124,-121.945859
OPT_01,,5,37.251117,-121.945393
OPT_01,,6,37.251103,-121.944944
OPT_01,,7,37.251101,-121.944853
OPT_01,,8,37.250863,-121.944853
OPT_01,,9,37.250862,-121.944658
OPT_01,,10,37.250863,-121.944853
OPT_01,,11,37.251101,-121.944853
OPT_01,,12,37.251092,-121.944329
OPT_01,,13,37.250968,-121.943929
OPT_01,,14,37.250624,-121.941642
OPT_01,,15,37.250629,-121.940526
OPT_01,,16,37.250628,-121.939512
OPT_01,,17,37.250633,-121.93845
OPT_01,,18,37.250636,-121.9379
OPT_01,,19,37.250639,-121.937383
OPT_01,,20,37.248274,-121.937354
OPT_01,,21,37.248277,-121.936306
OPT_01,,22,37.248282,-121.93526
OPT_01,,23,37.250461,-121.935226
OPT_01,,24,37.248282,-121.93526
OPT_01,,25,37.248293,-121.934038
OPT_01,,26,37.248296,-121.932525
OPT_01,,27,37.248292,-121.931284
OPT_01,,28,37.249142,-121.931303
OPT_01,,29,37.249672,-121.931299
OPT_01,,30,37.250541,-121.931314
OPT_01,,31,37.249672,-121.931299
OPT_01,,32,37.249142,-121.931303
OPT_01,,33,37.248292,-121.931284
OPT_01,,34,37.247829,-121.931283
OPT_01,,35,37.246326,-121.931272
OPT_01,,36,37.245819,-121.931276
OPT_01,,37,37.245512,-121.931268
OPT_01,,38,37.244677,-121.931259
OPT_01,,39,37.244377,-121.931257
OPT_01,,40,37.244302,-121.931256
OPT_01,,41,37.244068,-121.931269
OPT_01,,42,37.243919,-121.931274
OPT_01,,43,37.243418,-121.931276
OPT_01,,44,37.243426,-121.930785
OPT_01,,45,37.243433,-121.929964
OPT_01,,46,37.243434,-121.929417
OPT_01,,47,37.243441,-121.928496
OPT_01,,48,37.243451,-121.927407
OPT_01,,49,37.243458,-121.926264
OPT_01,,50,37.243474,-121.925694
OPT_01,,51,37.243488,-121.923605
OPT_01,,52,37.243488,-121.923307
OPT_01,,53,37.243305,-121.922996
OPT_01,,54,37.243045,-121.922686
