timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-13 08:42:16.146,,6th,I bike/skate/scooter,,,18
2026-01-13 08:43:18.631,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 08:43:21.414,middle school,6th,A parent/guardian drives me,Yes,all minus last two,18
2026-01-13 08:43:45.609,safeway,6th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 08:43:53.618,,6th,I walk,,,18
2026-01-13 08:44:02.634,,6th,I walk,,,18
2026-01-13 08:44:13.162,,6th,I walk,,,18
2026-01-13 08:44:15.770,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:44:27.309,,6th,I walk,,,18
2026-01-13 08:44:27.500,intersection,6th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 08:44:33.404,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:44:37.394,,6th,I bike/skate/scooter,,,18
2026-01-13 08:44:43.674,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:44:47.060,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:44:50.528,,6th,I bike/skate/scooter,,,18
2026-01-13 08:45:04.468,,6th,A parent/guardian drives me,No,,18
2026-01-13 08:45:06.292,,6th,A parent/guardian drives me,No,,18
2026-01-13 08:45:10.375,,6th,I walk,,,18
2026-01-13 08:46:20.545,Middle School,6th,A parent/guardian drives me,No,Busses made safer,18
2026-01-13 08:46:24.610,bradham appartement,7th,I take the bus,Yes,Arrives at my house at a better time,18
2026-01-13 08:46:29.263,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:46:30.679,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 08:46:57.454,I'm not sure. I would say the middle school mostly,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 08:47:55.249,Esther DR.,6th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 08:48:36.356,middle school,6th,A parent/guardian drives me,No,Arrives at school at a better time,18
2026-01-13 08:48:50.038,middle school,6th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 09:11:28.984,,6th,I walk,,,18
2026-01-13 09:13:59.588,,6th,I walk,,,18
2026-01-13 09:14:04.547,,6th,I bike/skate/scooter,,,18
2026-01-13 09:17:23.843,,6th,I walk,,,18
2026-01-13 09:17:34.298,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 09:17:36.918,,6th,I walk,,,18
2026-01-13 09:17:40.143,,6th,I bike/skate/scooter,,,18
2026-01-13 09:17:41.131,,6th,I bike/skate/scooter,,,18
2026-01-13 09:17:41.805,,6th,I walk,,,18
2026-01-13 09:17:54.381,,6th,I walk,,,18
2026-01-13 09:18:03.663,,6th,I walk,,,18
2026-01-13 09:18:13.294,,6th,I carpool with another family,No,I have no interest in taking the bus,18
2026-01-13 09:18:18.460,,6th,I walk,,,18
2026-01-13 09:18:20.945,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 09:18:30.134,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 09:18:32.494,,6th,I walk,,,18
2026-01-13 09:18:51.226,,6th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 09:18:52.109,,6th,I walk,,,18
2026-01-13 09:18:56.382,ums,6th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 09:19:01.659,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 09:19:01.923,,6th,I walk,,,18
2026-01-13 09:19:03.381,the front parking lot,6th,A parent/guardian drives me,No,Arrives at my house at a better time,18
2026-01-13 09:19:06.237,,6th,I bike/skate/scooter,,,18
2026-01-13 09:19:28.932,the middle school,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 09:19:48.217,,6th,I walk,,,18
2026-01-13 09:20:10.476,middle of school,6th,A parent/guardian drives me,No,stops near house,18
2026-01-13 09:20:12.828,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 09:20:17.899,,6th,I bike/skate/scooter,,,18
2026-01-13 09:21:21.768,the dentist office nere the school,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 09:24:07.485,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 09:56:10.915,,6th,I walk,,,18
2026-01-13 10:03:39.844,,6th,I walk,,,18
2026-01-13 10:59:23.463,,7th,I walk,,,18
2026-01-13 11:01:29.801,,7th,I walk,,,18
2026-01-13 11:01:42.775,,7th,I walk,,,18
2026-01-13 11:01:48.279,,7th,I walk,,,18
2026-01-13 11:02:06.087,,7th,I walk,,,18
2026-01-13 11:02:12.609,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:02:21.359,,7th,I walk,,,18
2026-01-13 11:02:36.214,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:02:36.497,,7th,I walk,,,18
2026-01-13 11:02:39.311,,7th,I bike/skate/scooter,,,18
2026-01-13 11:02:39.750,,7th,I bike/skate/scooter,,,18
2026-01-13 11:02:40.607,,7th,I walk,,,18
2026-01-13 11:02:57.793,,7th,I walk,,,18
2026-01-13 11:02:59.384,,7th,I walk,,,18
2026-01-13 11:03:08.274,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:03:08.646,,7th,I walk,,,18
2026-01-13 11:03:14.476,,7th,I bike/skate/scooter,,,18
2026-01-13 11:03:22.554,,7th,I bike/skate/scooter,,,18
2026-01-13 11:03:23.250,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:03:24.002,IDK,7th,A parent/guardian drives me,Yes,Arrives at school at a better time,18
2026-01-13 11:03:29.238,,7th,I walk,,,18
2026-01-13 11:03:32.331,,7th,I walk,,,18
2026-01-13 11:03:34.507,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:03:41.915,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:03:44.300,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:03:46.982,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:03:51.274,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:04:02.088,Middle School,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:04:07.692,,7th,I walk,,,18
