zone,discount_rate,discount_rate_label,pv_benefits,pv_costs,bcr,net_benefits
FULL_AREA,0.02,2.0%,81903764,47374630,1.729,34529134
LGHS,0.02,2.0%,43770185,35610327,1.229,8159858
UNION,0.02,2.0%,38133579,16845533,2.264,21288046
FULL_AREA,0.035,3.5%,70849925,41370310,1.713,29479615
LGHS,0.035,3.5%,37862903,30975996,1.222,6886907
UNION,0.035,3.5%,32987022,14758515,2.235,18228507
FULL_AREA,0.07,7.0%,52258653,31355351,1.667,20903302
LGHS,0.07,7.0%,27927543,23246123,1.201,4681420
UNION,0.07,7.0%,24331110,11277453,2.158,13053657
