district_id,f_pop_density,f_zero_veh,f_transit_share,f_income_inverse,f_age_dependent,f_employment_proxy,tdi,tdi_rank
D1,0.38377512379842704,0.7715654952076677,0.2682926829268293,0.23186736643195563,0.5,0.4070200990387417,0.4363,9
D2,0.35712205068453245,0.0,0.12804878048780488,0.0,0.5,0.385697640547626,0.2163,14
D3,0.5984561607923099,0.15814696485623003,0.09552845528455285,0.2903048944490038,0.5,0.578764928633848,0.3759,11
D4,0.7946402563355666,0.14536741214057508,0.3170731707317073,0.2960427859118213,0.5,0.7357122050684533,0.4801,7
D5,1.0,0.7587859424920127,0.13211382113821138,0.5313825421893642,0.5,0.9,0.6863,1
D6,0.562044858724148,1.0,0.1890243902439024,0.3937618164209704,0.5,0.5496358869793184,0.5604,4
D7,0.2219632974075153,0.23961661341853033,0.0,0.5094976356484897,0.5,0.2775706379260122,0.2715,12
D8,0.04150888435770463,0.19169329073482427,0.16260162601626016,0.6551747918979869,0.5,0.1332071074861637,0.2414,13
D9,0.001747742499271774,0.07987220447284345,0.06097560975609756,0.4827621878469804,0.5,0.10139819399941742,0.1632,15
D10,0.0,0.06389776357827476,0.04065040650406504,0.5172447086571816,0.5,0.1,0.1615,16
U1,0.32901252548791143,0.7412140575079872,0.2134146341463415,0.34521313646112783,0.5,0.3632100203903291,0.4188,10
U2,0.796096708418293,0.4888178913738019,0.17276422764227642,0.3599760614677752,0.5,0.7368773667346344,0.5372,6
U3,0.796096708418293,0.2987220447284345,0.15447154471544716,0.6378493941421093,0.5,0.7368773667346344,0.5381,5
U4,0.7066705505388873,0.2364217252396166,1.0,0.7229835196538875,0.5,0.6653364404311098,0.6322,3
U5,0.6902126420040781,0.9376996805111821,0.5223577235772358,0.5794580727029469,0.5,0.6521701136032625,0.6732,2
U6,0.2317215263617827,0.5111821086261981,0.508130081300813,1.0,0.5,0.2853772210894262,0.4792,8
