school,dismissal_time,pickup_deadline,pickup_window_min,constraint_met,satisfying_trip_id,actual_arrival
Union_Middle_School,14:25,14:35:00,10,True,OPT_01_T031,14:25:44
Dartmouth_Middle_School,15:55,16:05:00,10,True,OPT_01_T034,15:55:44
